state
"[57.128906, 109.16016, 29.61914, 98.4375, 15.732422, 14.517877]"
"[58.7109375, 109.51172, 29.61914, 97.4707, 16.171875, 14.517877]"
"[59.941406, 109.77539, 29.44336, 96.50391, 16.611328, 14.517877]"
"[60.64453, 110.03906, 29.44336, 95.44922, 17.050781, 14.517877]"
"[61.083984, 110.12695, 29.44336, 94.57031, 17.314453, 14.517877]"
"[61.171875, 110.12695, 29.44336, 93.515625, 17.490234, 14.517877]"
"[61.083984, 110.12695, 29.44336, 92.72461, 17.841797, 14.517877]"
"[61.5234375, 110.12695, 29.44336, 92.109375, 18.28125, 14.517877]"
"[61.78711, 110.12695, 29.44336, 91.23047, 18.544922, 14.517877]"
"[61.96289, 110.12695, 29.44336, 90.35156, 18.6328125, 14.517877]"
"[62.490234, 110.12695, 29.44336, 89.64844, 18.720703, 14.517877]"
"[62.666016, 110.12695, 29.44336, 89.0332, 18.720703, 14.517877]"
"[62.753906, 110.12695, 29.44336, 88.41797, 18.720703, 14.517877]"
"[62.490234, 110.12695, 29.44336, 88.06641, 18.720703, 14.517877]"
"[62.2265625, 110.12695, 29.44336, 87.53906, 18.720703, 14.517877]"
"[61.875, 110.12695, 29.44336, 86.92383, 18.720703, 14.517877]"
"[61.69922, 110.12695, 29.61914, 86.30859, 18.720703, 14.517877]"
"[61.61133, 110.12695, 29.61914, 85.78125, 18.720703, 14.517877]"
"[61.61133, 110.12695, 29.61914, 85.25391, 18.720703, 14.517877]"
"[61.69922, 110.12695, 30.058594, 84.90234, 18.6328125, 14.517877]"
"[61.875, 110.12695, 30.410156, 84.72656, 18.28125, 14.517877]"
"[61.875, 110.12695, 30.410156, 84.63867, 18.19336, 14.517877]"
"[61.875, 110.03906, 30.5859375, 84.63867, 18.19336, 14.517877]"
"[61.875, 110.03906, 30.5859375, 84.63867, 18.28125, 14.517877]"
"[61.78711, 110.03906, 30.5859375, 84.375, 18.544922, 15.492958]"
"[61.69922, 110.03906, 30.5859375, 83.93555, 18.720703, 17.443121]"
"[61.69922, 110.12695, 31.02539, 83.671875, 18.6328125, 19.826653]"
"[61.61133, 110.12695, 31.376953, 83.49609, 18.19336, 22.751896]"
"[61.259766, 110.12695, 31.9921875, 83.4082, 18.19336, 25.460455]"
"[60.8203125, 110.03906, 32.43164, 83.4082, 18.19336, 30.010834]"
"[60.64453, 110.03906, 33.046875, 83.4082, 18.19336, 37.05309]"
"[60.29297, 110.12695, 34.01367, 83.4082, 18.017578, 45.50379]"
"[59.941406, 110.12695, 34.89258, 83.4082, 17.666016, 54.17118]"
"[59.765625, 110.12695, 35.41992, 83.4082, 17.402344, 63.380283]"
"[59.765625, 109.95117, 35.595703, 83.4082, 17.2265625, 71.93932]"
"[59.853516, 109.95117, 35.771484, 83.4082, 17.138672, 80.28169]"
"[60.029297, 110.03906, 35.771484, 83.4082, 17.138672, 87.323944]"
"[60.1171875, 110.21484, 35.771484, 83.4082, 17.138672, 91.54929]"
"[60.1171875, 110.21484, 35.771484, 83.4082, 17.138672, 93.93282]"
"[60.029297, 110.21484, 35.771484, 83.4082, 16.96289, 95.23293]"
"[59.853516, 110.12695, 35.771484, 83.4082, 16.611328, 95.666306]"
"[59.765625, 110.12695, 35.771484, 83.4082, 16.435547, 95.01625]"
"[59.765625, 110.12695, 35.771484, 83.4082, 16.259766, 93.17443]"
"[59.765625, 110.21484, 35.771484, 83.4082, 16.259766, 89.924164]"
"[59.765625, 110.21484, 35.771484, 83.4082, 16.259766, 85.482124]"
"[59.677734, 110.21484, 35.771484, 83.4082, 16.259766, 79.30661]"
"[59.501953, 110.12695, 35.771484, 83.4082, 16.259766, 72.15601]"
